grp,h,thr,var,n,bss2,ece,d_bss2,d_ece,wins,nyr
single,5,0.05,SQ,996383,0.09429349917984287,0.004449568835939434,0.0009682970775046762,-0.00013015063607483158,11.0,21.0
single,5,0.05,FE250,996383,0.09432715160005356,0.003587966948474571,0.001001949497715371,-0.0009917525235396945,15.0,21.0
single,5,0.05,FE1000,996383,0.0944278279652857,0.0036368182686593504,0.001102625862947515,-0.0009429012033549153,17.0,21.0
single,5,0.05,SPL,996383,0.09336466540070909,0.0030909611488032854,3.94632983709009e-05,-0.0014887583232109803,10.0,21.0
single,5,0.05,LOGIT,996383,0.08809812072852186,0.022459064842507488,-0.0052270813738163335,0.017879345370493224,0.0,21.0
single,5,0.05,MNL,996383,,,,,,
single,5,0.05,PLATT,996383,0.09259884305092603,0.0035173891128358367,-0.0007263590514121621,-0.001062330359178429,6.0,21.0
single,5,0.05,ISO,996383,0.09186979250919114,0.002770205393325953,-0.00145540959314705,-0.0018095140786883127,8.0,21.0
single,10,0.02,BASE,995228,0.03310159542526203,0.007203327694245178,0.0,0.0,0.0,21.0
single,10,0.02,SQ,995228,0.03311232853878188,0.006607808592326334,1.0733113519845183e-05,-0.0005955191019188432,8.0,21.0
single,10,0.02,FE250,995228,0.03351631004928901,0.008741335692141907,0.00041471462402697945,0.0015380079978967297,14.0,21.0
single,10,0.02,FE1000,995228,0.03354759129298501,0.007926102719006435,0.0004459958677229814,0.0007227750247612574,14.0,21.0
single,10,0.02,SPL,995228,0.033446300665138096,0.00653913987934442,0.00034470523987606416,-0.0006641878149007572,14.0,21.0
single,10,0.02,LOGIT,995228,0.03416210842108802,0.008205314867438527,0.0010605129958259907,0.0010019871731933496,12.0,21.0
single,10,0.02,MNL,995228,0.03414659381025231,0.008258762578541473,0.001044998384990281,0.001055434884296295,12.0,21.0
single,10,0.02,PLATT,995228,0.032974792295845656,0.006481818649532444,-0.00012680312941637517,-0.0007215090447127339,12.0,21.0
single,10,0.02,ISO,995228,0.031881869262925244,0.002206434340350129,-0.0012197261623367872,-0.004996893353895049,7.0,21.0
single,10,0.05,BASE,995228,0.067694376967109,0.006607398101614581,0.0,0.0,0.0,21.0
single,10,0.05,SQ,995228,0.06796630667825732,0.00692972886515472,0.000271929711148311,0.0003223307635401391,10.0,21.0
single,10,0.05,FE250,995228,0.06897109317458594,0.009188732082123214,0.0012767162074769356,0.0025813339805086334,16.0,21.0
single,10,0.05,FE1000,995228,0.0689026993994738,0.007389160069259212,0.0012083224323647945,0.0007817619676446308,16.0,21.0
single,10,0.05,SPL,995228,0.0676609446522719,0.00595408308001514,-3.343231483710074e-05,-0.0006533150215994408,9.0,21.0
single,10,0.05,LOGIT,995228,0.0646849054697275,0.02181464240284952,-0.0030094714973815107,0.015207244301234938,5.0,21.0
single,10,0.05,MNL,995228,,,,,,
