sym,exp,dte,side,spot,n_strikes,iv_near,k_near,iv_interp,k_lo,k_hi,oi_near,vol_near,spr_near,mid_near,zero_bid_frac,oi_total,vol_total
NVDA,2026-10-09,25,C,210.5399932861328,48,0.3479069116210937,210.0,0.34770916215104974,210.0,215.0,327.0,408.0,0.10000000000000053,8.0,0.16666666666666666,54476.0,9448.0
NVDA,2026-10-09,25,P,210.5399932861328,42,0.3198310205078124,210.0,0.31859179049553715,210.0,215.0,2145.0,570.0,0.15000000000000036,6.825,0.09523809523809523,48110.0,7623.0
SPY,2026-09-14,0,C,758.469970703125,113,0.11084873535156249,758.0,0.10591501021802424,758.0,759.0,1012.0,26264.0,0.010000000000000009,1.995,0.336283185840708,129203.0,686946.0
SPY,2026-09-14,0,P,758.469970703125,116,0.05591764404296875,758.0,0.050811812218725674,758.0,759.0,5197.0,117693.0,0.010000000000000009,0.665,0.2413793103448276,268579.0,798194.0
SPY,2026-09-15,1,C,758.469970703125,104,0.13660531372070314,758.0,0.131069215169698,758.0,759.0,342.0,3808.0,0.020000000000000018,3.29,0.2980769230769231,50536.0,103156.0
SPY,2026-09-15,1,P,758.469970703125,108,0.08912043701171876,758.0,0.08694041892945767,758.0,759.0,2248.0,14539.0,0.010000000000000009,1.7650000000000001,0.12962962962962962,153015.0,157370.0
SPY,2026-09-16,2,C,758.469970703125,84,0.16266706481933596,758.0,0.16088862901538614,758.0,759.0,630.0,778.0,0.03000000000000025,4.6850000000000005,0.14285714285714285,37573.0,28826.0
SPY,2026-09-16,2,P,758.469970703125,105,0.11994288269042967,758.0,0.11819313133493066,758.0,759.0,788.0,2090.0,0.020000000000000018,3.05,0.06666666666666667,45205.0,31539.0
SPY,2026-09-17,3,C,758.469970703125,84,0.16864845031738285,758.0,0.1660668499568105,758.0,759.0,207.0,207.0,0.04999999999999982,5.555,0.08333333333333333,41979.0,10673.0
SPY,2026-09-17,3,P,758.469970703125,103,0.12824358093261717,758.0,0.12640777623176574,758.0,759.0,499.0,514.0,0.020000000000000018,3.8200000000000003,0.05825242718446602,58947.0,9224.0
SPY,2026-09-18,4,C,758.469970703125,309,0.1554039538574219,758.0,0.154801580439955,758.0,759.0,1995.0,581.0,0.040000000000000036,5.720000000000001,0.12297734627831715,1108839.0,92347.0
SPY,2026-09-18,4,P,758.469970703125,304,0.15204705383300782,758.0,0.15130125817328693,758.0,759.0,10822.0,3447.0,0.03000000000000025,5.135,0.17434210526315788,3818238.0,129630.0
SPY,2026-09-21,7,C,758.469970703125,82,0.13288220642089843,758.0,0.13157706401638686,758.0,759.0,360.0,235.0,0.07000000000000028,6.155,0.07317073170731707,26600.0,6264.0
SPY,2026-09-21,7,P,758.469970703125,86,0.13227186096191407,758.0,0.13063684740021825,758.0,759.0,266.0,211.0,0.040000000000000036,5.67,0.0,24582.0,8359.0
SPY,2026-09-22,8,C,758.469970703125,78,0.13257703369140628,758.0,0.13122886461421848,758.0,759.0,23.0,43.0,0.05999999999999961,6.48,0.05128205128205128,9708.0,3308.0
SPY,2026-09-22,8,P,758.469970703125,76,0.13196668823242189,758.0,0.1306185191552341,758.0,759.0,152.0,27.0,0.04999999999999982,6.035,0.0,12566.0,2440.0
SPY,2026-09-23,9,C,758.469970703125,73,0.13236341278076175,758.0,0.13117300817005337,758.0,759.0,104.0,26.0,0.05999999999999961,6.8100000000000005,0.0410958904109589,8912.0,3304.0
SPY,2026-09-23,9,P,758.469970703125,76,0.13178358459472655,758.0,0.1306075222082436,758.0,759.0,356.0,110.0,0.040000000000000036,6.369999999999999,0.0,11641.0,1904.0
JNJ,2026-09-18,4,C,269.3599853515625,57,0.22779092529296874,270.0,0.24288486982053514,267.5,270.0,13278.0,191.0,0.31000000000000005,2.4050000000000002,0.17543859649122806,56324.0,16431.0
JNJ,2026-09-18,4,P,269.3599853515625,50,0.25171646728515623,270.0,0.2575602925991416,267.5,270.0,1165.0,121.0,0.5499999999999998,3.225,0.64,40399.0,3037.0
JNJ,2026-09-25,11,C,269.3599853515625,27,0.2467116345214844,270.0,0.25766490068486336,267.5,270.0,316.0,4.0,0.5499999999999998,4.225,0.2962962962962963,2266.0,167.0
JNJ,2026-09-25,11,P,269.3599853515625,25,0.26270268554687504,270.0,0.2623901815193892,267.5,270.0,72.0,20.0,1.4000000000000004,4.75,0.36,3106.0,579.0
JNJ,2026-10-02,18,C,269.3599853515625,19,0.24298852722167968,270.0,0.2446682363694161,265.0,270.0,67.0,1.0,0.7000000000000002,5.300000000000001,0.2631578947368421,1907.0,100.0
JNJ,2026-10-02,18,P,269.3599853515625,16,0.23731231445312498,270.0,0.23592948413150008,265.0,270.0,51.0,9.0,1.0500000000000007,5.625,0.3125,1477.0,209.0
JNJ,2026-10-09,25,C,269.3599853515625,14,0.24781025634765624,270.0,0.2513103014554977,265.0,270.0,339.0,2.0,0.7000000000000002,6.449999999999999,0.21428571428571427,2022.0,155.0
JNJ,2026-10-09,25,P,269.3599853515625,13,0.22907265075683597,270.0,0.22900233735065165,265.0,270.0,53.0,1.0,0.8000000000000007,6.5,0.07692307692307693,1557.0,60.0
JNJ,2026-10-16,32,C,269.3599853515625,28,0.28339339660644525,270.0,0.2863504659665301,260.0,270.0,3199.0,7.0,0.75,8.475,0.14285714285714285,25648.0,4555.0
JNJ,2026-10-16,32,P,269.3599853515625,23,0.2528150891113281,270.0,0.25360416178072986,260.0,270.0,489.0,1.0,0.75,8.125,0.5217391304347826,24214.0,328.0
JNJ,2026-10-23,39,C,269.3599853515625,19,0.295356167602539,270.0,0.2970358767502755,265.0,270.0,19.0,5.0,1.75,9.325,0.10526315789473684,441.0,233.0
JNJ,2026-10-23,39,P,269.3599853515625,12,0.25916268188476566,270.0,0.2588814282600284,265.0,270.0,2.0,1.0,1.5,8.8,0.08333333333333333,155.0,15.0
JNJ,2026-10-30,46,C,269.3599853515625,7,0.3165961895751953,270.0,0.3174087000466585,265.0,270.0,3.0,0.0,2.700000000000001,10.55,0.0,26.0,6.0
JNJ,2026-10-30,46,P,269.3599853515625,4,0.25571423004150395,265.0,,,,12.0,0.0,1.5499999999999998,6.975,0.0,35.0,0.0
JNJ,2026-11-20,67,C,269.3599853515625,21,0.27936511657714835,270.0,0.28177530388913297,260.0,270.0,1151.0,20.0,0.9000000000000004,12.2,0.14285714285714285,4399.0,149.0
JNJ,2026-11-20,67,P,269.3599853515625,14,0.24085231811523436,270.0,0.24141873166505246,260.0,270.0,556.0,4.0,0.8499999999999996,11.075,0.07142857142857142,5810.0,69.0
KLAC,2026-09-18,4,C,170.63999938964844,258,0.6303747900390625,170.0,0.6243592309322022,170.0,172.0,1200.0,3.0,0.7000000000000002,5.35,0.6589147286821705,63276.0,3390.0
KLAC,2026-09-18,4,P,170.63999938964844,290,0.5246629565429688,170.0,0.5206005010422319,170.0,172.0,2471.0,19.0,0.7000000000000002,3.85,0.6482758620689655,96332.0,24798.0
KLAC,2026-09-25,11,C,170.63999938964844,29,0.5939982006835938,170.0,0.5918575991312824,170.0,175.0,13.0,1.0,1.0999999999999996,7.6499999999999995,0.3793103448275862,2028.0,75.0
KLAC,2026-09-25,11,P,170.63999938964844,28,0.5013477600097658,170.0,0.5120976422578694,170.0,172.5,714.0,18.0,0.8999999999999995,5.85,0.10714285714285714,2670.0,179.0
KLAC,2026-10-02,18,C,170.63999938964844,25,0.5883830224609375,170.0,0.5888830169841053,170.0,175.0,396.0,1.0,1.0999999999999996,9.45,0.4,2585.0,179.0
KLAC,2026-10-02,18,P,170.63999938964844,25,0.5147753601074219,170.0,0.5143847393861972,170.0,175.0,91.0,18.0,0.8999999999999995,7.65,0.16,2561.0,93.0
KLAC,2026-10-09,25,C,170.63999938964844,22,0.5662885168457032,170.0,0.5681322466498838,170.0,175.0,76.0,4.0,3.8000000000000007,10.6,0.3181818181818182,390.0,51.0
KLAC,2026-10-09,25,P,170.63999938964844,18,0.5039112109375,170.0,0.5075205464016161,170.0,175.0,473.0,4.0,1.5999999999999996,8.8,0.05555555555555555,2341.0,119.0
KLAC,2026-10-16,32,C,170.63999938964844,22,0.551762294921875,170.0,0.5558872497380077,170.0,175.0,53.0,1.0,1.5999999999999996,11.600000000000001,0.18181818181818182,5420.0,545.0
KLAC,2026-10-16,32,P,170.63999938964844,22,0.5111132873535156,170.0,0.5133632627077699,170.0,175.0,607.0,6.0,0.5999999999999996,10.100000000000001,0.0,6597.0,156.0
KLAC,2026-10-23,39,C,170.63999938964844,20,0.5861857788085938,170.0,0.5867482726471575,170.0,175.0,31.0,1.0,3.8000000000000007,13.5,0.1,318.0,279.0
KLAC,2026-10-23,39,P,170.63999938964844,15,0.5688519677734375,170.0,0.5725550522106476,170.0,175.0,17.0,3.0,3.299999999999999,12.45,0.13333333333333333,169.0,31.0
KLAC,2026-10-30,46,C,170.63999938964844,10,0.6475865319824219,170.0,0.6501411914992314,170.0,180.0,2.0,0.0,4.199999999999999,16.1,0.0,16.0,1.0
KLAC,2026-10-30,46,P,170.63999938964844,13,0.5684857604980469,170.0,0.5734388312431761,170.0,175.0,100.0,2.0,2.1999999999999993,13.5,0.15384615384615385,227.0,24.0
KLAC,2026-11-20,67,C,170.63999938964844,131,0.6208534008789064,170.0,0.6229236907013973,170.0,172.0,184.0,1.0,4.399999999999999,18.5,0.4122137404580153,13126.0,683.0
KLAC,2026-11-20,67,P,170.63999938964844,144,0.5721478332519532,170.0,0.5693744261312579,170.0,172.0,742.0,13.0,1.8000000000000007,16.4,0.3055555555555556,40179.0,2741.0
EPAM,2026-09-18,4,C,122.58180236816406,15,0.5109912182617188,125.0,0.541218386384964,120.0,125.0,101.0,1.0,0.5999999999999999,1.6,0.26666666666666666,1035.0,107.0
EPAM,2026-09-18,4,P,122.58180236816406,17,0.6879914013671876,125.0,0.6060474377830773,120.0,125.0,3.0,2.0,2.4,4.1,0.7058823529411765,1054.0,104.0
