date,symbol,side,state,sector,signal_type,score,d0_close,fwd_d1,fwd_d3,fwd_d5,fwd_d10,fwd_d14,fwd_last,days,rank120,RSI,L2_trend,L2_pump,H4_RSI,H4_FJ
2026-05-20,ONTO,BUY,,98 COWOS,BUY_B_D1FJ_low_H4_0birth,,263.12,-0.006347,,,,,0.006195,2,0.7327200282222447,46.79432884136334,0.0,2.056863597105017e-15,43.17792376428761,48.95134162289666
2026-05-20,ORCL,BUY,,98 数据中心,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,188.16,0.008557,,,,,0.021498,2,0.5972496089637672,56.78553416630953,78.36224917288827,9.996748747632553e-09,52.97977618775914,52.09497306125238
2026-05-20,POET,BUY,,05 AI网络 / 光模块,Gann_BUY_A_new_zero,,14.78,0.002706,,,,,0.020298,2,0.6372180375312084,58.03075715841235,90.66709031262631,4.57213711839631e-11,56.21699089189536,53.23289502236561
2026-05-20,SNPS,BUY,,04 半导体设备 / EDA,BUY_B_D1FJ_low_H4_0birth,,498.93,0.010122,,,,,0.061391,2,0.7745015079217018,58.62207711765128,86.84808109481395,1.287696667351011e-11,51.27615023934981,49.48254873103188
2026-05-20,SOXL,BUY,,01 市场环境,Gann_BUY_A_new_zero,,173.2,0.029965,,,,,0.108256,2,0.8884787174553467,62.64893652960628,104.1497970575966,3.37833464473992e-11,57.13062552171148,59.10815220085171
2026-05-20,SPY,BUY,,01 市场环境,Gann_BUY_A_new_zero,,741.25,0.001983,,,,,0.007771,2,0.9404476576316786,66.41950408849483,110.7801075891739,4.231112908632476e-11,60.43785684585032,58.04711003954315
2026-05-20,TER,BUY,,98 COWOS,BUY_B_D1FJ_low_H4_0birth,,344.34,0.026427,,,,,0.039438,2,0.6910766824845836,48.61212821970953,51.32429287373309,0.0,48.28540269964587,57.16638039468133
2026-05-20,TLN,BUY,,07 数据中心电力,BUY_B_D1FJ_low_H4_0birth,,344.46,0.046508,,,,,0.088428,2,0.3573642381842962,47.08742691516769,0.0,0.462542678636193,46.52160467585557,56.23890701894222
2026-05-20,TSLA,BUY,,98 超巨,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,417.26,0.001414,,,,,0.023415,2,0.50473987111147,55.16593470337764,88.69799231755623,9.356834416924393e-10,52.03101540430472,49.73445420002268
2026-05-20,TSM,BUY,,98 COWOS,Gann_BUY_A_new_zero,,401.62,0.013769,,,,,0.013408,2,0.8745614998530215,54.59526325010144,72.46457793681076,4.274408275076765e-11,51.07057451135034,51.34737754290345
