symbol,group,signal,date,fwd_ret,bench_ret,excess_ret,period
XLE,14 能源,正式买入,2022-09-09,-0.09925558500560794,-0.10774716404564011,0.008491579040032171,train
XLE,14 能源,正式买入,2022-10-03,0.1424629319095807,0.02094875617202452,0.12151417573755618,train
XLE,14 能源,正式买入,2022-11-10,0.0038673864543767866,0.032151821335505204,-0.028284434881128417,train
XLE,14 能源,正式买入,2022-12-21,0.04006483395112337,0.02778132243361542,0.01228351151750795,train
XLE,14 能源,正式买入,2023-02-07,-0.05274472114540918,-0.04559356575174944,-0.007151155393659736,test
XLE,14 能源,正式买入,2023-03-02,-0.08607267217937487,-0.014328479027708951,-0.07174419315166591,test
XLE,14 能源,正式买入,2023-03-27,0.08359514319763983,0.044011230136518975,0.03958391306112086,test
XLE,14 能源,正式买入,2023-04-24,-0.08993975713977986,-0.0025204384863316553,-0.08741931865344821,test
XLE,14 能源,正式买入,2023-05-19,0.021220523033127048,0.02694567605672815,-0.005725153023601104,test
XLE,14 能源,正式买入,2023-06-15,-0.002346288386390616,-0.009150515713277407,0.0068042273268867914,test
XLE,14 能源,正式买入,2023-07-07,0.05941323639025664,0.03178657582812905,0.027626660562127592,test
XLE,14 能源,正式买入,2023-08-17,0.036729538752187096,0.01961997155777717,0.017109567194409925,test
XLE,14 能源,正式买入,2023-09-27,-0.011068955567781313,0.023401012806853805,-0.03446996837463512,test
XLE,14 能源,正式买入,2023-11-02,-0.034033757544875365,0.05631901452794241,-0.09035277207281778,test
XLE,14 能源,正式买入,2023-11-30,-0.002128166248273722,0.025986012330733166,-0.028114178579006888,test
XLE,14 能源,正式买入,2024-01-02,-0.048383273276834005,0.02583305112186718,-0.07421632439870118,test
XLE,14 能源,正式买入,2024-01-24,0.019439984351299566,0.017903071059511166,0.0015369132917883999,test
XLE,14 能源,正式买入,2024-02-15,0.026162085866774376,0.025497475237485245,0.0006646106292891307,test
XLE,14 能源,正式买入,2024-04-22,-0.018411911018541338,0.042263718848903675,-0.06067562986744501,test
XLE,14 能源,正式买入,2024-05-15,-0.04291349431942815,0.009230158448537917,-0.052143652767966064,test
XLE,14 能源,正式买入,2024-06-20,0.00022160488761335806,0.017330860089122435,-0.017109255201509077,test
XLE,14 能源,正式买入,2024-07-11,0.03234021640643436,-0.010189015075403374,0.04252923148183774,test
XLE,14 能源,正式买入,2024-08-09,0.017112165491894205,0.0475806034188575,-0.0304684379269633,test
XLE,14 能源,正式买入,2024-08-29,-0.02177263364611559,0.022620230026084265,-0.044392863672199856,test
XLE,14 能源,正式买入,2024-09-30,0.028929307492569167,0.018875517473355696,0.010053790019213471,test
XLE,14 能源,正式买入,2024-11-04,0.08596624957549404,0.04510277516566119,0.040863474409832845,test
XLE,14 能源,正式买入,2024-11-29,-0.12781324443101316,-0.027300659763158652,-0.10051258466785451,test
XLE,14 能源,正式买入,2024-12-31,0.0763482723153992,0.04038694754973671,0.035961324765662495,test
XLE,14 能源,正式买入,2025-02-04,-0.004442486914834398,-0.012529560130650763,0.008087073215816365,test
XLE,14 能源,正式买入,2025-02-28,0.023846133724673813,-0.04828503617600122,0.07213116990067503,test
XLE,14 能源,正式买入,2025-04-17,0.0013497007405098849,0.0734219076116378,-0.07207220687112792,test
XLE,14 能源,正式买入,2025-05-08,0.007964728844720215,0.04422537490239464,-0.03626064605767443,test
XLE,14 能源,正式买入,2025-06-02,0.041525428190539504,0.012552516687071469,0.028972911503468035,test
XLE,14 能源,正式买入,2025-07-02,-0.0013804526188974098,0.022177467152718178,-0.023557919771615587,test
XLE,14 能源,正式买入,2025-07-23,-0.02476666233095104,0.013370934193650541,-0.03813759652460158,test
XLE,14 能源,正式买入,2025-08-13,0.03327882408258853,-0.0017832876737740033,0.035062111756362535,test
XLE,14 能源,正式买入,2025-09-04,0.014144527177105237,0.018455725534363143,-0.004311198357257906,test
XLE,14 能源,正式买入,2025-10-07,-0.013521053898276292,0.024091336733053748,-0.03761239063133004,test
XLE,14 能源,正式买入,2025-10-29,0.0346550999696853,-0.039729988764182655,0.07438508873386795,test
XLE,14 能源,正式买入,2025-11-28,-0.02421221543285279,-0.010126053639915145,-0.014086161792937646,test
XLE,14 能源,正式买入,2025-12-29,0.06678618587117136,-0.014930520986564555,0.08171670685773591,test
XLE,14 能源,正式买入,2026-03-11,0.07511405429416218,-0.03842797092787098,0.11354202522203316,test
XLE,14 能源,正式买入,2026-04-07,-0.05634972404000538,0.08487305405410406,-0.14122277809410944,test
XLE,14 能源,正式买入,2026-05-12,0.006774351080698349,0.028976692487833855,-0.022202341407135506,test
XLE,14 能源,正式买入,2026-06-02,-0.06038647438380729,-0.034216714698795725,-0.026169759685011562,test
XLE,14 能源,正式买入,2026-07-07,0.06808201431656458,-0.011528526920698057,0.07961054123726263,test
XLE,14 能源,正式买入,2026-07-29,0.08576297780789344,0.052079605585018784,0.03368337222287465,test
XLE,14 能源,回调买入点,2018-04-10,0.05578592035746288,-0.002413668284334314,0.058199588641797195,train
XLE,14 能源,回调买入点,2018-07-10,-0.0014217475306529392,0.0037648559825231853,-0.0051866035131761246,train
XLE,14 能源,回调买入点,2021-02-03,0.20483945599531195,0.025978742311364655,0.1788607136839473,train
XLE,14 能源,回调买入点,2021-03-26,-0.04025379272283147,0.053740083309486986,-0.09399387603231846,train
XLE,14 能源,回调买入点,2021-06-01,-0.0027665349041273712,0.0028354942830173258,-0.005602029187144697,train
XLE,14 能源,回调买入点,2021-09-23,0.11559778502912565,-0.0180513564064535,0.13364914143557916,train
XLE,14 能源,回调买入点,2022-05-03,0.0693082251173982,-0.04673613340428062,0.11604435852167883,train
XLE,14 能源,回调买入点,2022-08-10,0.0790277178362353,-0.051858375879726526,0.13088609371596183,train
XLE,14 能源,回调买入点,2022-09-14,-0.035371291496948065,-0.042143954955869756,0.0067726634589216905,train
XLE,14 能源,回调买入点,2022-12-23,0.035377922322841426,0.038808036377851796,-0.0034301140550103693,train
XLE,14 能源,回调买入点,2023-02-10,-0.032701440840053775,-0.00943536423608271,-0.023266076603971064,test
XLE,14 能源,回调买入点,2023-10-13,-0.022658766182339085,-0.0017149252245075575,-0.020943840957831528,test
XLE,14 能源,回调买入点,2024-07-17,-0.06693840143807783,-0.06246629416963789,-0.00447210726843994,test
XLE,14 能源,回调买入点,2024-11-06,0.017742664658255913,0.01625955391172229,0.0014831107465336224,test
XLE,14 能源,回调买入点,2025-02-20,-0.0547060284047467,-0.08439006742285804,0.02968403901811134,test
XLE,14 能源,回调买入点,2025-08-27,0.008630314195599231,0.01940829794194765,-0.010777983746348418,test
XLE,14 能源,回调买入点,2026-01-05,0.04969080531848036,0.0072849560563186255,0.04240584926216173,test
